datetime,open,high,low,close,volume,average,barCount,symbol,interval
2024-09-12 13:30:00+00:00,423.58,424.01,422.69,422.79,328225.0,423.59,461,MSFT,1m
2024-09-12 13:31:00+00:00,422.87,423.01,421.45,421.5,63776.0,422.468,384,MSFT,1m
2024-09-12 13:32:00+00:00,421.5,421.51,420.66,420.93,43934.0,421.073,270,MSFT,1m
2024-09-12 13:33:00+00:00,421.04,422.5,420.73,422.25,31450.0,421.612,258,MSFT,1m
2024-09-12 13:34:00+00:00,422.25,422.67,422.12,422.48,22832.0,422.368,152,MSFT,1m
2024-09-12 13:35:00+00:00,422.51,422.6,421.57,422.06,57770.0,422.143,362,MSFT,1m
2024-09-12 13:36:00+00:00,422.0,422.67,421.94,422.54,30449.0,422.29,240,MSFT,1m
2024-09-12 13:37:00+00:00,422.4,422.77,422.08,422.72,23629.0,422.449,180,MSFT,1m
2024-09-12 13:38:00+00:00,422.69,422.74,422.12,422.29,21559.0,422.382,152,MSFT,1m
2024-09-12 13:39:00+00:00,422.2,422.29,421.66,421.67,56169.0,421.936,424,MSFT,1m
2024-09-12 13:40:00+00:00,421.69,422.09,421.68,421.8,27926.0,421.908,199,MSFT,1m
2024-09-12 13:41:00+00:00,421.75,421.79,421.07,421.39,39754.0,421.456,310,MSFT,1m
2024-09-12 13:42:00+00:00,421.36,421.87,421.24,421.74,29752.0,421.65,191,MSFT,1m
2024-09-12 13:43:00+00:00,421.79,422.0,421.35,421.54,53723.0,421.691,393,MSFT,1m
2024-09-12 13:44:00+00:00,421.52,421.95,421.39,421.6,45366.0,421.706,368,MSFT,1m
2024-09-12 13:45:00+00:00,421.58,422.0,421.55,421.75,21114.0,421.793,121,MSFT,1m
2024-09-12 13:46:00+00:00,421.75,421.76,421.08,421.08,58258.0,421.511,464,MSFT,1m
2024-09-12 13:47:00+00:00,421.12,421.54,420.7,420.95,36486.0,421.045,247,MSFT,1m
2024-09-12 13:48:00+00:00,420.95,421.38,420.9,420.93,49410.0,421.116,250,MSFT,1m
2024-09-12 13:49:00+00:00,421.0,421.01,420.14,420.53,65407.0,420.604,492,MSFT,1m
2024-09-12 13:50:00+00:00,420.52,420.82,420.15,420.17,36066.0,420.534,222,MSFT,1m
2024-09-12 13:51:00+00:00,420.29,420.79,420.21,420.79,17276.0,420.503,146,MSFT,1m
2024-09-12 13:52:00+00:00,420.81,421.41,420.69,421.27,24384.0,421.039,156,MSFT,1m
2024-09-12 13:53:00+00:00,421.2,421.24,420.98,421.24,9503.0,421.152,76,MSFT,1m
2024-09-12 13:54:00+00:00,421.31,421.66,421.05,421.59,17553.0,421.431,118,MSFT,1m
2024-09-12 13:55:00+00:00,421.58,421.6,420.87,420.88,22518.0,421.161,126,MSFT,1m
2024-09-12 13:56:00+00:00,420.94,421.0,420.75,420.9,26343.0,420.878,161,MSFT,1m
